# Wavelength/AA, Flux/AA
5.348001655196445427e+03,9.904569956114439577e-01
5.348651711821587014e+03,9.916360691483470102e-01
5.348701716177367416e+03,9.940983667050242722e-01
5.348751720533147818e+03,9.947765313657271902e-01
5.348801724888927311e+03,9.953445526649357111e-01
5.348851729244707712e+03,9.948703167032919570e-01
5.348901733600488114e+03,9.921061700355983115e-01
5.350801899120132475e+03,9.924661830277508034e-01
5.350851903475912877e+03,9.913513638646487269e-01
5.351301942677933766e+03,9.940517222156175503e-01
5.351351947033714168e+03,9.959944975137783318e-01
5.351401951389493661e+03,9.960783470554331887e-01
5.351451955745274063e+03,9.963638132767547173e-01
5.351501960101054465e+03,9.970228286368156834e-01
5.351551964456833957e+03,9.978334721852888389e-01
5.351601968812614359e+03,9.981452811151563242e-01
5.351651973168394761e+03,9.969768141787620497e-01
5.351701977524174254e+03,9.944234992945963914e-01
5.352302029793536349e+03,9.908101090495531338e-01
5.352352034149315841e+03,9.976658885340048410e-01
5.352402038505096243e+03,9.991207898292590039e-01
5.352452042860876645e+03,9.992369857887773987e-01
5.352502047216656138e+03,9.992197884201426961e-01
5.352552051572436540e+03,9.991453089641337826e-01
5.352602055928216942e+03,9.988883858946022709e-01
5.352652060283996434e+03,9.982085913640165176e-01
5.352702064639776836e+03,9.977672089174789427e-01
5.352752068995557238e+03,9.974190343666513581e-01
5.352802073351337640e+03,9.971131510666316755e-01
5.352852077707117132e+03,9.970174495007609883e-01
5.352902082062897534e+03,9.969464007541943840e-01
5.352952086418677936e+03,9.967031691581856867e-01
5.353002090774457429e+03,9.960466683095305918e-01
5.353052095130237831e+03,9.948859207503667479e-01
5.353102099486018233e+03,9.902504362054330711e-01
5.354252199668961111e+03,9.937403055883922143e-01
5.354302204024740604e+03,9.979008309645891472e-01
5.354352208380521006e+03,9.992362932777277829e-01
5.354402212736301408e+03,9.995496717863626701e-01
5.354452217092080900e+03,9.992421312223221941e-01
5.354502221447861302e+03,9.987085792495340453e-01
5.354552225803641704e+03,9.980193964396998352e-01
5.354602230159421197e+03,9.974529247538062027e-01
